Category-Group
Affluent Achievers-Lavish Lifestyles
Affluent Achievers-Executive Wealth
Affluent Achievers-Mature Affluence
Rising Prosperity-City Sophisticates
Rising Prosperity-Career Climbers
Comfortable Communities-Settled Suburbia
Comfortable Communities-Intermediate Lifestyles
Comfortable Communities-Comfortable Seniors
Financially Stretched-Modest Means
Financially Stretched-Striving Families
Financially Stretched-Poorer Pensioners
Urban Adversity-Young Hardship
Urban Adversity-Struggling Estates
Urban Adversity-Difficult Circumstances
